[COM16] Ready. Waiting for STM32 requests...
[COM21] Ready. Waiting for STM32 requests...
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 37.770184
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 3.162301
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 65.990623
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 56.192368
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 5.098692
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 18.619560
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 90.081223
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.134320
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 14.203792
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 9.578695
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 25.201487
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 69.680573
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 12.486135
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 58.279427
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000001
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000002
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.003478
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 2.995542
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 39.237030
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000068
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 9.017672
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 37.476295
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 124.532356
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 7.558187
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000250
