[COM16] Ready. Waiting for STM32 requests...
[COM21] Ready. Waiting for STM32 requests...
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.717440
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 1.340890
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.426011
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.226783
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.173814
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.663237
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.902343
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.765758
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.868325
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.639827
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.464005
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.433701
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.683507
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.641599
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.693723
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.851775
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.321915
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.761922
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.849538
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.340484
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.901466
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.363803
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.438012
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.423010
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.762404
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.998247
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.696360
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.798684
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.940075
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.428244
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.561445
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.705950
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 1.199986
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 1.466966
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.845021
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.411769
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.350459
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.765525
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.574682
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.367094
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 1.254003
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 1.132525
[COM21] Training data finished at seq=50, sent CODE_FINISH
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 1.158043
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 1.492241
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.813264
[COM16] Training data finished at seq=50, sent CODE_FINISH
[COM21] Inference data finished at seq=20, sent CODE_FINISH
[COM21] STM32 inference accuracy = 0.450000
[COM16] Inference data finished at seq=20, sent CODE_FINISH
[COM16] STM32 inference accuracy = 0.450000
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.596116
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.875348
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.725780
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.533975
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.164500
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.742942
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.476115
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.451354
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.364665
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.627891
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.591187
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.911005
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.545220
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.769478
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.302249
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.416306
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.406901
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.295560
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.446552
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.706111
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.834040
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.707782
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.493472
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.869823
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.644670
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.464670
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 1.080401
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.620408
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.925106
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.867577
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.416191
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.472960
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 1.362184
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.469080
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.470345
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.822810
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.471957
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.232481
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 2.014781
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.808543
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.195306
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.640883
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.556382
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.277318
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.875220
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.469899
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.523894
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.253542
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.399942
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.599384
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.147123
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.817256
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.399266
